加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化wide_cnn模型...
模型參數數量: 21,335,972
開始訓練 wide_cnn 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [00:39<01:20,  8.39it/s, loss=3.4675, acc=5.39%, time=0.034s]
 批次 310/990 | 損失: 3.3355 | 準確率: 0.1224 | 批次時間: 0.104秒
 批次 320/990 | 損失: 3.3336 | 準確率: 0.1230 | 批次時間: 0.034秒
 批次 330/990 | 損失: 3.3323 | 準確率: 0.1231 | 批次時間: 0.034秒
 批次 340/990 | 損失: 3.3303 | 準確率: 0.1233 | 批次時間: 0.034秒
 批次 350/990 | 損失: 3.3286 | 準確率: 0.1238 | 批次時間: 0.034秒
 批次 360/990 | 損失: 3.3263 | 準確率: 0.1243 | 批次時間: 0.034秒
 批次 370/990 | 損失: 3.3251 | 準確率: 0.1245 | 批次時間: 0.034秒
 批次 380/990 | 損失: 3.3225 | 準確率: 0.1251 | 批次時間: 0.034秒
 批次 390/990 | 損失: 3.3201 | 準確率: 0.1252 | 批次時間: 0.034秒
 批次 400/990 | 損失: 3.3184 | 準確率: 0.1261 | 批次時間: 0.034秒
 批次 410/990 | 損失: 3.3170 | 準確率: 0.1261 | 批次時間: 0.104秒
 批次 420/990 | 損失: 3.3150 | 準確率: 0.1260 | 批次時間: 0.034秒
 批次 430/990 | 損失: 3.3156 | 準確率: 0.1262 | 批次時間: 0.034秒
 批次 440/990 | 損失: 3.3149 | 準確率: 0.1265 | 批次時間: 0.034秒
 批次 450/990 | 損失: 3.3136 | 準確率: 0.1261 | 批次時間: 0.034秒
 批次 460/990 | 損失: 3.3110 | 準確率: 0.1263 | 批次時間: 0.034秒
 批次 470/990 | 損失: 3.3096 | 準確率: 0.1266 | 批次時間: 0.034秒
 批次 480/990 | 損失: 3.3077 | 準確率: 0.1272 | 批次時間: 0.034秒
 批次 490/990 | 損失: 3.3058 | 準確率: 0.1273 | 批次時間: 0.034秒
 批次 500/990 | 損失: 3.3047 | 準確率: 0.1270 | 批次時間: 0.034秒
 批次 510/990 | 損失: 3.3051 | 準確率: 0.1269 | 批次時間: 0.102秒
 批次 520/990 | 損失: 3.3043 | 準確率: 0.1270 | 批次時間: 0.034秒
 批次 530/990 | 損失: 3.3043 | 準確率: 0.1272 | 批次時間: 0.034秒
 批次 540/990 | 損失: 3.3040 | 準確率: 0.1272 | 批次時間: 0.034秒
 批次 550/990 | 損失: 3.3009 | 準確率: 0.1278 | 批次時間: 0.034秒
 批次 560/990 | 損失: 3.2994 | 準確率: 0.1279 | 批次時間: 0.034秒
 批次 570/990 | 損失: 3.2977 | 準確率: 0.1282 | 批次時間: 0.034秒
 批次 580/990 | 損失: 3.2959 | 準確率: 0.1290 | 批次時間: 0.034秒
 批次 590/990 | 損失: 3.2941 | 準確率: 0.1292 | 批次時間: 0.034秒
 批次 600/990 | 損失: 3.2913 | 準確率: 0.1293 | 批次時間: 0.034秒
 批次 610/990 | 損失: 3.2905 | 準確率: 0.1294 | 批次時間: 0.104秒
 批次 620/990 | 損失: 3.2889 | 準確率: 0.1298 | 批次時間: 0.034秒
 批次 630/990 | 損失: 3.2878 | 準確率: 0.1303 | 批次時間: 0.034秒
 批次 640/990 | 損失: 3.2864 | 準確率: 0.1305 | 批次時間: 0.034秒
 批次 650/990 | 損失: 3.2864 | 準確率: 0.1307 | 批次時間: 0.034秒
 批次 660/990 | 損失: 3.2851 | 準確率: 0.1308 | 批次時間: 0.034秒
 批次 670/990 | 損失: 3.2843 | 準確率: 0.1310 | 批次時間: 0.034秒
 批次 680/990 | 損失: 3.2835 | 準確率: 0.1313 | 批次時間: 0.034秒
 批次 690/990 | 損失: 3.2816 | 準確率: 0.1316 | 批次時間: 0.034秒
 批次 700/990 | 損失: 3.2813 | 準確率: 0.1317 | 批次時間: 0.034秒
 批次 710/990 | 損失: 3.2799 | 準確率: 0.1317 | 批次時間: 0.099秒
 批次 720/990 | 損失: 3.2789 | 準確率: 0.1320 | 批次時間: 0.034秒
 批次 730/990 | 損失: 3.2769 | 準確率: 0.1321 | 批次時間: 0.034秒
 批次 740/990 | 損失: 3.2745 | 準確率: 0.1325 | 批次時間: 0.034秒
 批次 750/990 | 損失: 3.2730 | 準確率: 0.1329 | 批次時間: 0.034秒
 批次 760/990 | 損失: 3.2715 | 準確率: 0.1331 | 批次時間: 0.034秒
 批次 770/990 | 損失: 3.2706 | 準確率: 0.1329 | 批次時間: 0.034秒
 批次 780/990 | 損失: 3.2701 | 準確率: 0.1333 | 批次時間: 0.034秒
 批次 790/990 | 損失: 3.2690 | 準確率: 0.1336 | 批次時間: 0.034秒
 批次 800/990 | 損失: 3.2677 | 準確率: 0.1337 | 批次時間: 0.034秒
 批次 810/990 | 損失: 3.2670 | 準確率: 0.1338 | 批次時間: 0.100秒
 批次 820/990 | 損失: 3.2662 | 準確率: 0.1340 | 批次時間: 0.034秒
 批次 830/990 | 損失: 3.2640 | 準確率: 0.1345 | 批次時間: 0.034秒
 批次 840/990 | 損失: 3.2622 | 準確率: 0.1349 | 批次時間: 0.034秒
 批次 850/990 | 損失: 3.2616 | 準確率: 0.1350 | 批次時間: 0.034秒
 批次 860/990 | 損失: 3.2597 | 準確率: 0.1353 | 批次時間: 0.034秒
 批次 870/990 | 損失: 3.2582 | 準確率: 0.1356 | 批次時間: 0.034秒
 批次 880/990 | 損失: 3.2566 | 準確率: 0.1362 | 批次時間: 0.034秒
 批次 890/990 | 損失: 3.2547 | 準確率: 0.1366 | 批次時間: 0.034秒
 批次 900/990 | 損失: 3.2534 | 準確率: 0.1369 | 批次時間: 0.034秒
 批次 910/990 | 損失: 3.2524 | 準確率: 0.1372 | 批次時間: 0.114秒
 批次 920/990 | 損失: 3.2505 | 準確率: 0.1377 | 批次時間: 0.034秒
 批次 930/990 | 損失: 3.2490 | 準確率: 0.1380 | 批次時間: 0.034秒
 批次 940/990 | 損失: 3.2468 | 準確率: 0.1384 | 批次時間: 0.034秒
 批次 950/990 | 損失: 3.2452 | 準確率: 0.1386 | 批次時間: 0.034秒
 批次 960/990 | 損失: 3.2432 | 準確率: 0.1390 | 批次時間: 0.034秒
 批次 970/990 | 損失: 3.2425 | 準確率: 0.1391 | 批次時間: 0.034秒
 批次 980/990 | 損失: 3.2412 | 準確率: 0.1391 | 批次時間: 0.034秒
 批次 990/990 | 損失: 3.2399 | 準確率: 0.1394 | 批次時間: 0.021秒
訓練階段完成 | 平均損失: 3.2399 | 準確率: 0.1394 | 平均批次時間: 0.036秒 | 總時間: 122.96秒

驗證階段:
驗證 Epoch 2/20: 100%|████████████████████████| 8/8 [00:00<00:00, 12.14it/s, loss=2.1652, acc=17.33%]
 驗證批次 8/8 | 當前準確率: 0.1733
驗證階段完成 | 平均損失: 3.0580 | 準確率: 0.1733 | 耗時: 0.66秒
發現更好的模型! 保存到 checkpoints/wide_cnn_best.pth
新的最佳驗證準確率: 0.1733
Epoch 2/20 完成 | 總耗時: 123.76秒 | 當前最佳準確率: 0.1733

============================================================
Epoch 3/20 開始
訓練階段:
訓練 Epoch 3/20:  32%|██▎    | 319/990 [00:40<01:30,  7.40it/s, loss=3.2239, acc=17.04%, time=0.109s]
 批次 10/990 | 損失: 3.0718 | 準確率: 0.1797 | 批次時間: 0.034秒
 批次 20/990 | 損失: 3.1124 | 準確率: 0.1672 | 批次時間: 0.100秒
 批次 30/990 | 損失: 3.1040 | 準確率: 0.1682 | 批次時間: 0.034秒
 批次 40/990 | 損失: 3.1130 | 準確率: 0.1656 | 批次時間: 0.034秒
 批次 50/990 | 損失: 3.1017 | 準確率: 0.1669 | 批次時間: 0.034秒
 批次 60/990 | 損失: 3.0963 | 準確率: 0.1703 | 批次時間: 0.034秒
 批次 70/990 | 損失: 3.1074 | 準確率: 0.1688 | 批次時間: 0.034秒
 批次 80/990 | 損失: 3.1015 | 準確率: 0.1674 | 批次時間: 0.034秒
 批次 90/990 | 損失: 3.1142 | 準確率: 0.1658 | 批次時間: 0.034秒
 批次 100/990 | 損失: 3.1126 | 準確率: 0.1667 | 批次時間: 0.034秒
 批次 110/990 | 損失: 3.1048 | 準確率: 0.1683 | 批次時間: 0.034秒
 批次 120/990 | 損失: 3.1054 | 準確率: 0.1672 | 批次時間: 0.103秒
 批次 130/990 | 損失: 3.1057 | 準確率: 0.1667 | 批次時間: 0.034秒
 批次 140/990 | 損失: 3.1016 | 準確率: 0.1667 | 批次時間: 0.034秒
 批次 150/990 | 損失: 3.1006 | 準確率: 0.1678 | 批次時間: 0.034秒
 批次 160/990 | 損失: 3.1011 | 準確率: 0.1686 | 批次時間: 0.034秒
 批次 170/990 | 損失: 3.1003 | 準確率: 0.1695 | 批次時間: 0.034秒
 批次 180/990 | 損失: 3.1015 | 準確率: 0.1688 | 批次時間: 0.034秒
 批次 190/990 | 損失: 3.1047 | 準確率: 0.1676 | 批次時間: 0.034秒
 批次 200/990 | 損失: 3.1041 | 準確率: 0.1684 | 批次時間: 0.034秒
 批次 210/990 | 損失: 3.1083 | 準確率: 0.1679 | 批次時間: 0.034秒
 批次 220/990 | 損失: 3.1087 | 準確率: 0.1672 | 批次時間: 0.101秒
 批次 230/990 | 損失: 3.1079 | 準確率: 0.1675 | 批次時間: 0.034秒
 批次 240/990 | 損失: 3.1050 | 準確率: 0.1686 | 批次時間: 0.034秒
 批次 250/990 | 損失: 3.1059 | 準確率: 0.1688 | 批次時間: 0.034秒
 批次 260/990 | 損失: 3.1017 | 準確率: 0.1694 | 批次時間: 0.034秒
 批次 270/990 | 損失: 3.1009 | 準確率: 0.1697 | 批次時間: 0.034秒
 批次 280/990 | 損失: 3.1018 | 準確率: 0.1691 | 批次時間: 0.034秒
 批次 290/990 | 損失: 3.0978 | 準確率: 0.1692 | 批次時間: 0.034秒
 批次 300/990 | 損失: 3.0950 | 準確率: 0.1697 | 批次時間: 0.034秒
 批次 310/990 | 損失: 3.0912 | 準確率: 0.1704 | 批次時間: 0.034秒
 批次 320/990 | 損失: 3.0919 | 準確率: 0.1704 | 批次時間: 0.109秒
 批次 330/990 | 損失: 3.0887 | 準確率: 0.1711 | 批次時間: 0.034秒
 批次 340/990 | 損失: 3.0891 | 準確率: 0.1712 | 批次時間: 0.034秒
 批次 350/990 | 損失: 3.0874 | 準確率: 0.1719 | 批次時間: 0.034秒
 批次 360/990 | 損失: 3.0860 | 準確率: 0.1717 | 批次時間: 0.034秒
 批次 370/990 | 損失: 3.0847 | 準確率: 0.1715 | 批次時間: 0.034秒
 批次 380/990 | 損失: 3.0824 | 準確率: 0.1716 | 批次時間: 0.034秒
 批次 390/990 | 損失: 3.0812 | 準確率: 0.1719 | 批次時間: 0.034秒
 批次 400/990 | 損失: 3.0808 | 準確率: 0.1720 | 批次時間: 0.034秒
 批次 410/990 | 損失: 3.0807 | 準確率: 0.1723 | 批次時間: 0.034秒
 批次 420/990 | 損失: 3.0807 | 準確率: 0.1720 | 批次時間: 0.101秒
 批次 430/990 | 損失: 3.0793 | 準確率: 0.1719 | 批次時間: 0.034秒
 批次 440/990 | 損失: 3.0787 | 準確率: 0.1718 | 批次時間: 0.034秒
 批次 450/990 | 損失: 3.0748 | 準確率: 0.1724 | 批次時間: 0.034秒
 批次 460/990 | 損失: 3.0716 | 準確率: 0.1733 | 批次時間: 0.034秒
 批次 470/990 | 損失: 3.0694 | 準確率: 0.1733 | 批次時間: 0.034秒
 批次 480/990 | 損失: 3.0682 | 準確率: 0.1740 | 批次時間: 0.034秒
 批次 490/990 | 損失: 3.0677 | 準確率: 0.1741 | 批次時間: 0.034秒
 批次 500/990 | 損失: 3.0678 | 準確率: 0.1743 | 批次時間: 0.034秒
 批次 510/990 | 損失: 3.0676 | 準確率: 0.1744 | 批次時間: 0.034秒
 批次 520/990 | 損失: 3.0663 | 準確率: 0.1743 | 批次時間: 0.111秒
 批次 530/990 | 損失: 3.0661 | 準確率: 0.1744 | 批次時間: 0.034秒
 批次 540/990 | 損失: 3.0638 | 準確率: 0.1753 | 批次時間: 0.034秒
