開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 510/990 | 損失: 2.2254 | 準確率: 25.24% | 處理時間: 0.26秒
  批次 520/990 | 損失: 2.6190 | 準確率: 25.25% | 處理時間: 0.22秒
  批次 530/990 | 損失: 2.7229 | 準確率: 25.26% | 處理時間: 0.22秒
  批次 540/990 | 損失: 2.4366 | 準確率: 25.32% | 處理時間: 0.22秒
  批次 550/990 | 損失: 2.5938 | 準確率: 25.43% | 處理時間: 0.22秒
  批次 560/990 | 損失: 2.6388 | 準確率: 25.49% | 處理時間: 0.21秒
  批次 570/990 | 損失: 2.3835 | 準確率: 25.53% | 處理時間: 0.22秒
  批次 580/990 | 損失: 2.1523 | 準確率: 25.51% | 處理時間: 0.21秒
  批次 590/990 | 損失: 2.5182 | 準確率: 25.56% | 處理時間: 0.23秒
  批次 600/990 | 損失: 2.4193 | 準確率: 25.65% | 處理時間: 0.23秒
  批次 610/990 | 損失: 2.5571 | 準確率: 25.72% | 處理時間: 0.22秒
  批次 620/990 | 損失: 2.9494 | 準確率: 25.77% | 處理時間: 0.22秒
  批次 630/990 | 損失: 2.4035 | 準確率: 25.85% | 處理時間: 0.22秒
  批次 640/990 | 損失: 2.5489 | 準確率: 25.91% | 處理時間: 0.22秒
  批次 650/990 | 損失: 2.6371 | 準確率: 25.95% | 處理時間: 0.22秒
  批次 660/990 | 損失: 2.4254 | 準確率: 26.02% | 處理時間: 0.22秒
  批次 670/990 | 損失: 2.4117 | 準確率: 26.07% | 處理時間: 0.26秒
  批次 680/990 | 損失: 2.3135 | 準確率: 26.13% | 處理時間: 0.22秒
  批次 690/990 | 損失: 2.5690 | 準確率: 26.18% | 處理時間: 0.22秒
  批次 700/990 | 損失: 2.5278 | 準確率: 26.23% | 處理時間: 0.21秒
  批次 710/990 | 損失: 2.6849 | 準確率: 26.29% | 處理時間: 0.22秒
  批次 720/990 | 損失: 2.6428 | 準確率: 26.33% | 處理時間: 0.22秒
  批次 730/990 | 損失: 2.6201 | 準確率: 26.37% | 處理時間: 0.23秒
  批次 740/990 | 損失: 2.4138 | 準確率: 26.45% | 處理時間: 0.22秒
  批次 750/990 | 損失: 2.4729 | 準確率: 26.52% | 處理時間: 0.22秒
  批次 760/990 | 損失: 2.2866 | 準確率: 26.54% | 處理時間: 0.22秒
  批次 770/990 | 損失: 2.3731 | 準確率: 26.60% | 處理時間: 0.22秒
  批次 780/990 | 損失: 2.2752 | 準確率: 26.63% | 處理時間: 0.26秒
  批次 790/990 | 損失: 2.2538 | 準確率: 26.68% | 處理時間: 0.22秒
  批次 800/990 | 損失: 2.3036 | 準確率: 26.74% | 處理時間: 0.23秒
  批次 810/990 | 損失: 2.4123 | 準確率: 26.76% | 處理時間: 0.22秒
  批次 820/990 | 損失: 2.6171 | 準確率: 26.80% | 處理時間: 0.22秒
  批次 830/990 | 損失: 2.5395 | 準確率: 26.88% | 處理時間: 0.22秒
  批次 840/990 | 損失: 2.1828 | 準確率: 26.91% | 處理時間: 0.22秒
  批次 850/990 | 損失: 2.4440 | 準確率: 26.95% | 處理時間: 0.21秒
