加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 380/990 | 損失: 3.5298 | 準確率: 0.1014 | 批次時間: 0.488秒
 批次 390/990 | 損失: 3.5287 | 準確率: 0.1014 | 批次時間: 0.577秒
 批次 400/990 | 損失: 3.5278 | 準確率: 0.1014 | 批次時間: 0.483秒
 批次 410/990 | 損失: 3.5264 | 準確率: 0.1016 | 批次時間: 0.547秒
 批次 420/990 | 損失: 3.5256 | 準確率: 0.1021 | 批次時間: 0.509秒
 批次 430/990 | 損失: 3.5247 | 準確率: 0.1027 | 批次時間: 0.488秒
 批次 440/990 | 損失: 3.5236 | 準確率: 0.1028 | 批次時間: 0.477秒
 批次 450/990 | 損失: 3.5230 | 準確率: 0.1024 | 批次時間: 0.485秒
 批次 460/990 | 損失: 3.5218 | 準確率: 0.1023 | 批次時間: 0.472秒
 批次 470/990 | 損失: 3.5203 | 準確率: 0.1021 | 批次時間: 0.482秒
 批次 480/990 | 損失: 3.5199 | 準確率: 0.1021 | 批次時間: 0.544秒
 批次 490/990 | 損失: 3.5179 | 準確率: 0.1018 | 批次時間: 0.472秒
 批次 500/990 | 損失: 3.5160 | 準確率: 0.1021 | 批次時間: 0.490秒
 批次 510/990 | 損失: 3.5148 | 準確率: 0.1023 | 批次時間: 0.545秒
 批次 520/990 | 損失: 3.5131 | 準確率: 0.1026 | 批次時間: 0.572秒
 批次 530/990 | 損失: 3.5112 | 準確率: 0.1029 | 批次時間: 0.488秒
 批次 540/990 | 損失: 3.5095 | 準確率: 0.1035 | 批次時間: 0.489秒
 批次 550/990 | 損失: 3.5098 | 準確率: 0.1035 | 批次時間: 0.470秒
 批次 560/990 | 損失: 3.5088 | 準確率: 0.1032 | 批次時間: 0.573秒
 批次 570/990 | 損失: 3.5066 | 準確率: 0.1035 | 批次時間: 0.487秒
 批次 580/990 | 損失: 3.5062 | 準確率: 0.1034 | 批次時間: 0.473秒
 批次 590/990 | 損失: 3.5054 | 準確率: 0.1036 | 批次時間: 0.478秒
 批次 600/990 | 損失: 3.5041 | 準確率: 0.1040 | 批次時間: 0.480秒
 批次 610/990 | 損失: 3.5036 | 準確率: 0.1043 | 批次時間: 0.662秒
 批次 620/990 | 損失: 3.5018 | 準確率: 0.1047 | 批次時間: 0.577秒
 批次 630/990 | 損失: 3.5012 | 準確率: 0.1048 | 批次時間: 0.574秒
 批次 640/990 | 損失: 3.4996 | 準確率: 0.1053 | 批次時間: 0.487秒
 批次 650/990 | 損失: 3.4980 | 準確率: 0.1060 | 批次時間: 0.487秒
 批次 660/990 | 損失: 3.4961 | 準確率: 0.1066 | 批次時間: 0.558秒
 批次 670/990 | 損失: 3.4953 | 準確率: 0.1067 | 批次時間: 0.487秒
 批次 680/990 | 損失: 3.4943 | 準確率: 0.1067 | 批次時間: 0.481秒
 批次 690/990 | 損失: 3.4927 | 準確率: 0.1068 | 批次時間: 0.573秒
 批次 700/990 | 損失: 3.4918 | 準確率: 0.1072 | 批次時間: 0.485秒
 批次 710/990 | 損失: 3.4908 | 準確率: 0.1072 | 批次時間: 0.612秒
 批次 720/990 | 損失: 3.4890 | 準確率: 0.1078 | 批次時間: 0.480秒
 批次 730/990 | 損失: 3.4883 | 準確率: 0.1081 | 批次時間: 0.475秒
 批次 740/990 | 損失: 3.4876 | 準確率: 0.1084 | 批次時間: 0.487秒
 批次 750/990 | 損失: 3.4859 | 準確率: 0.1085 | 批次時間: 0.488秒
 批次 760/990 | 損失: 3.4844 | 準確率: 0.1087 | 批次時間: 0.572秒
 批次 770/990 | 損失: 3.4833 | 準確率: 0.1089 | 批次時間: 0.484秒
 批次 780/990 | 損失: 3.4817 | 準確率: 0.1092 | 批次時間: 0.476秒
 批次 790/990 | 損失: 3.4800 | 準確率: 0.1093 | 批次時間: 0.488秒
 批次 800/990 | 損失: 3.4795 | 準確率: 0.1093 | 批次時間: 0.481秒
 批次 810/990 | 損失: 3.4788 | 準確率: 0.1095 | 批次時間: 0.544秒
 批次 820/990 | 損失: 3.4779 | 準確率: 0.1095 | 批次時間: 0.482秒
 批次 830/990 | 損失: 3.4769 | 準確率: 0.1095 | 批次時間: 0.474秒
 批次 840/990 | 損失: 3.4755 | 準確率: 0.1097 | 批次時間: 0.573秒
 批次 850/990 | 損失: 3.4744 | 準確率: 0.1101 | 批次時間: 0.474秒
 批次 860/990 | 損失: 3.4722 | 準確率: 0.1105 | 批次時間: 0.486秒
 批次 870/990 | 損失: 3.4708 | 準確率: 0.1109 | 批次時間: 0.470秒
 批次 880/990 | 損失: 3.4695 | 準確率: 0.1114 | 批次時間: 0.491秒
 批次 890/990 | 損失: 3.4679 | 準確率: 0.1114 | 批次時間: 0.480秒
