加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化WideCNN模型...
模型參數數量: 1,536,356
開始訓練 WideCNN 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:01<06:19,  1.77it/s, loss=3.7163, acc=4.14%, time=0.574s]
  批次 670/990 | 損失: 3.4851 | 準確率: 0.1082 | 批次時間: 0.475秒
  批次 680/990 | 損失: 3.4845 | 準確率: 0.1085 | 批次時間: 0.487秒
  批次 690/990 | 損失: 3.4831 | 準確率: 0.1089 | 批次時間: 0.483秒
  批次 700/990 | 損失: 3.4826 | 準確率: 0.1091 | 批次時間: 0.473秒
  批次 710/990 | 損失: 3.4823 | 準確率: 0.1095 | 批次時間: 0.549秒
  批次 720/990 | 損失: 3.4817 | 準確率: 0.1093 | 批次時間: 0.478秒
  批次 730/990 | 損失: 3.4809 | 準確率: 0.1093 | 批次時間: 0.473秒
  批次 740/990 | 損失: 3.4793 | 準確率: 0.1093 | 批次時間: 0.480秒
  批次 750/990 | 損失: 3.4774 | 準確率: 0.1097 | 批次時間: 0.486秒
  批次 760/990 | 損失: 3.4759 | 準確率: 0.1101 | 批次時間: 0.487秒
  批次 770/990 | 損失: 3.4759 | 準確率: 0.1102 | 批次時間: 0.483秒
  批次 780/990 | 損失: 3.4757 | 準確率: 0.1104 | 批次時間: 0.474秒
  批次 790/990 | 損失: 3.4749 | 準確率: 0.1105 | 批次時間: 0.473秒
  批次 800/990 | 損失: 3.4741 | 準確率: 0.1108 | 批次時間: 0.483秒
  批次 810/990 | 損失: 3.4733 | 準確率: 0.1109 | 批次時間: 0.594秒
  批次 820/990 | 損失: 3.4723 | 準確率: 0.1111 | 批次時間: 0.489秒
  批次 830/990 | 損失: 3.4709 | 準確率: 0.1115 | 批次時間: 0.470秒
  批次 840/990 | 損失: 3.4696 | 準確率: 0.1118 | 批次時間: 0.472秒
